Date;Bread and cereals;Fish, fish products, and seafood;Daily products and eggs;Food fats and oils;Fruit;Vegetables;Alcoholic beverages and tobacco products;Tobacco products;Clothing and footwear;Actual net cold rent;Electricity, gas, and other fuels;Health;Outpatient healthcare services;Inpatient healthcare services;New passenger car;Used passenger car;Passenger transport by rail;Passenger transport by air;Recreation, entertainment, and culture;Pets, including goods and services for pets;Restaurants, cafés, street food, and similar;Overnight stays;Insurance services
01.01.2019;98,00;98,10;99,00;110,70;92,30;100,70;96,50;93,40;96,80;97,90;99,20;98,10;99,60;94,90;98,20;99,40;112,90;92,40;93,30;98,20;96,40;96,00;98,90
01.02.2019;98,50;98,20;99,10;108,90;92,20;104,30;96,60;93,50;98,60;98,10;99,70;98,30;99,70;95,30;98,30;99,50;111,10;91,80;95,10;98,60;96,70;96,50;99,20
01.03.2019;98,60;98,60;99,40;106,80;91,40;100,40;97,20;94,60;101,50;98,20;99,90;98,60;99,80;96,30;98,60;99,70;113,20;92,20;96,50;98,60;96,80;97,30;98,60
01.04.2019;98,90;98,50;99,30;105,60;90,80;101,20;97,90;95,70;103,90;98,30;100,50;98,60;99,90;96,30;98,60;99,90;117,10;95,50;99,90;98,80;97,20;98,10;98,50
01.05.2019;99,00;98,90;98,90;105,90;92,50;102,10;98,30;96,50;103,40;98,40;100,90;98,60;100,00;96,30;98,80;100,10;115,20;92,00;99,50;99,10;97,60;99,80;99,40
01.06.2019;99,20;99,20;98,80;104,20;92,80;101,00;98,30;96,60;101,60;98,50;100,10;98,60;100,00;96,30;98,90;100,20;117,00;94,50;103,50;98,80;97,80;100,70;99,40
01.07.2019;99,40;99,50;99,20;103,30;92,50;100,90;98,50;96,60;98,10;98,70;100,40;98,70;100,00;96,30;99,10;100,20;116,00;100,30;107,40;99,30;98,00;101,10;99,40
01.08.2019;99,60;99,80;99,10;103,10;94,00;100,30;98,40;96,60;98,20;98,70;100,30;98,70;100,00;96,30;99,20;100,30;116,70;99,40;106,50;99,60;98,10;100,80;99,70
01.09.2019;99,70;99,40;99,00;100,60;95,60;97,80;98,80;97,40;104,00;98,90;100,80;98,80;100,10;96,30;99,10;100,30;113,90;97,20;103,60;100,00;98,20;100,40;99,70
01.10.2019;99,70;99,70;99,10;101,50;96,00;94,10;99,00;97,50;105,20;99,00;100,80;98,90;100,10;96,30;99,30;100,40;113,00;96,10;103,10;99,50;98,40;99,80;100,80
